time,e1,e2,e3,e4,e5,e6,e7,e8
3.281,50,96,82,97,186,70,50,115
3.309,50,91,84,107,204,64,48,88
3.317,45,92,90,112,187,72,43,60
3.339,37,89,89,121,221,245,68,57
3.362,37,81,79,110,213,260,70,54
3.376,38,67,69,111,214,274,130,79
3.4,37,85,65,117,272,281,139,80
3.422,38,87,65,114,280,289,140,81
3.436,40,85,69,112,265,199,132,80
3.46,38,85,67,110,313,189,130,87
3.482,34,86,68,106,314,189,72,61
3.551,35,72,72,93,249,283,102,71
3.553,32,64,67,82,262,305,105,73
3.573,31,66,66,76,285,294,108,91
3.574,34,86,72,90,256,289,107,85
3.587,37,83,71,95,260,283,117,93
3.601,34,77,61,92,310,181,87,86
3.616,36,78,60,87,367,263,117,84
3.641,35,76,56,76,372,307,146,63
3.662,32,48,49,57,366,335,154,78
3.676,31,45,50,57,375,343,149,68
3.699,31,47,51,63,373,374,148,68
3.73,37,67,52,66,297,301,124,73
3.738,38,75,54,69,298,254,95,72
3.761,39,78,51,71,331,274,92,62
3.782,43,80,48,65,341,265,93,79
3.805,47,86,48,62,328,251,94,101
3.82,46,70,46,59,341,256,90,106
3.842,45,62,43,57,332,260,77,108
3.856,48,68,49,62,347,197,67,115
3.879,47,79,60,80,329,189,61,113
3.902,49,75,62,87,468,148,55,151
3.916,53,91,66,92,490,164,58,154
3.941,55,100,67,89,498,164,55,154
3.961,55,105,67,86,492,176,53,147
3.984,59,109,63,81,517,207,62,148
3.999,61,107,63,82,402,225,75,105
4.02,54,101,63,79,375,234,94,94
4.044,54,114,63,81,356,268,100,92
4.061,53,127,69,80,346,285,102,95
4.081,48,124,72,81,363,270,97,81
4.104,41,123,69,72,372,256,87,56
4.121,41,123,66,66,387,222,62,90
4.164,41,119,83,96,412,177,56,94
4.173,45,124,103,119,434,146,58,95
4.194,47,129,104,113,395,151,63,101
4.209,55,137,109,121,375,202,84,102
4.255,66,170,115,136,387,219,94,92
4.258,66,166,109,120,360,247,101,99
4.279,63,147,87,102,342,245,99,98
4.324,61,139,81,108,336,275,98,94
4.327,59,134,84,104,338,255,82,95
4.376,50,96,81,98,375,248,73,75
4.399,51,87,78,107,390,208,60,60
4.401,53,86,83,108,368,245,58,67
4.422,60,103,93,111,370,201,56,87
4.424,56,104,92,111,380,180,53,85
4.443,59,104,106,109,310,178,51,86
4.445,59,120,129,110,303,183,50,86
4.464,62,132,139,125,284,190,47,78
4.481,68,142,143,143,278,189,42,50
4.503,73,153,147,162,335,213,46,45
4.526,71,158,154,169,337,211,43,43
4.548,74,154,158,189,318,269,48,41
4.561,71,164,161,186,370,234,51,40
4.586,62,150,154,170,369,242,54,61
4.6,59,137,147,153,336,227,52,61
4.629,55,123,126,143,349,229,53,60
4.643,55,141,93,112,399,163,51,59
4.661,52,134,71,93,362,197,49,57
4.681,53,140,74,101,375,200,47,37
4.704,51,140,73,103,366,196,43,36
4.721,53,142,74,107,426,204,43,44
4.749,49,119,84,112,404,230,53,62
4.764,53,106,81,114,425,194,52,74
4.781,48,93,70,110,457,185,53,74
4.801,47,89,74,104,453,194,56,75
4.826,44,87,84,96,421,180,54,70
4.846,45,78,76,90,413,146,46,65
4.861,39,74,77,92,412,205,51,54
4.884,40,67,77,88,467,212,53,73
4.908,42,83,82,98,522,226,59,86
4.929,42,82,68,96,511,238,60,88
4.951,42,101,64,92,547,237,58,86
5.007,48,118,70,97,532,194,58,86
5.009,51,123,72,100,484,185,55,102
5.028,50,119,62,92,415,157,50,99
5.03,51,121,61,91,386,166,48,100
5.041,48,103,58,82,324,164,53,101
5.064,41,87,45,76,361,207,45,100
