time,e1,e2,e3,e4,e5,e6,e7,e8
3.295,80,69,52,46,71,54,61,72
3.309,84,74,54,47,59,55,61,80
3.332,81,69,57,49,58,49,60,80
3.355,81,68,56,47,57,49,61,84
3.369,83,67,54,47,55,52,59,84
3.392,82,64,55,52,51,55,61,81
3.414,78,61,55,57,56,56,60,80
3.429,75,67,52,58,58,57,62,80
3.452,75,63,53,60,59,60,62,80
3.475,75,65,51,59,57,52,64,80
3.489,77,67,46,54,64,47,62,83
3.512,78,67,45,47,62,45,62,82
3.535,79,65,46,46,62,49,65,84
3.549,80,71,49,46,66,50,68,81
3.572,78,69,53,50,66,53,63,80
3.595,83,69,56,52,76,72,65,82
3.609,94,88,65,57,80,76,78,86
3.632,120,112,80,58,85,81,84,100
3.655,151,142,90,56,85,92,97,123
3.669,165,164,104,61,87,96,106,138
3.693,174,177,111,63,78,87,107,145
3.714,206,222,136,72,103,111,124,164
3.729,227,287,171,87,128,148,160,189
3.753,236,328,214,105,149,181,190,208
3.775,254,362,247,121,179,212,219,228
3.789,269,386,272,128,193,232,237,247
3.812,260,374,273,125,186,233,237,247
3.835,248,331,257,117,171,218,221,240
3.849,238,293,230,109,161,196,196,227
3.872,235,260,205,98,146,173,175,220
3.895,239,246,186,95,132,160,159,220
3.917,255,250,177,94,135,158,159,231
3.932,270,264,180,96,141,159,160,252
3.955,296,276,179,94,133,161,164,266
3.977,298,285,168,82,125,157,157,272
3.992,302,283,160,79,121,150,153,274
4.015,305,291,163,75,111,144,148,277
4.037,301,294,161,73,107,135,143,265
4.053,292,287,147,73,115,130,145,264
4.074,290,276,139,76,104,125,150,257
4.097,285,269,122,71,100,115,150,249
4.114,266,252,108,72,99,109,150,241
4.134,268,243,105,73,98,118,162,255
4.157,273,255,131,73,107,132,175,274
4.174,287,276,150,86,131,148,194,300
4.194,309,296,167,94,144,174,213,325
4.216,332,317,172,104,147,180,219,350
4.233,341,329,171,109,150,182,222,348
4.254,355,335,165,109,143,183,220,348
4.276,362,339,158,96,129,180,216,346
4.293,363,347,159,92,118,179,219,347
4.314,368,351,167,82,117,184,227,344
4.337,372,353,168,72,108,183,227,349
4.353,355,344,157,68,99,169,218,335
4.374,333,319,162,84,110,153,198,315
4.397,304,289,168,99,130,131,169,286
4.413,268,254,161,98,129,112,140,254
4.434,236,221,156,98,129,98,122,224
4.457,241,218,159,99,135,112,138,230
4.473,265,244,160,97,139,142,169,258
4.494,290,271,157,89,133,165,203,298
4.517,327,302,165,94,143,186,225,329
4.534,353,332,180,105,151,203,239,359
4.554,345,331,182,108,158,208,234,352
4.577,329,317,175,103,146,193,224,333
4.593,311,308,167,112,143,180,211,304
4.614,288,287,158,109,132,169,205,286
4.637,272,262,142,101,127,161,195,260
4.654,271,258,138,96,118,146,195,259
4.674,274,255,130,93,112,148,189,258
4.697,276,242,123,72,101,141,181,254
4.714,273,242,109,67,96,132,171,248
4.734,267,248,106,61,87,118,170,250
4.756,274,257,107,57,82,126,173,258
