time,e1,e2,e3,e4,e5,e6,e7,e8
0.121,1014,1170,323,360,503,467,107,1183
0.136,1061,1040,250,316,446,388,113,1065
0.159,967,979,206,273,397,314,104,996
0.181,917,882,165,232,341,304,103,894
0.204,888,749,127,194,281,274,107,777
0.218,827,638,107,154,223,258,126,686
0.249,778,590,102,126,162,221,108,613
0.272,732,727,110,126,149,208,112,558
0.279,642,829,117,132,154,207,116,583
0.301,486,866,111,120,143,233,116,603
0.324,376,944,110,126,170,243,102,631
0.338,364,939,120,127,174,244,103,671
0.361,440,765,111,120,179,246,100,711
0.384,494,678,106,122,177,237,94,690
0.398,622,718,111,140,202,184,93,671
0.429,744,698,122,153,200,172,86,658
0.444,897,811,117,181,200,212,91,654
0.459,939,878,122,197,203,223,94,632
0.481,1014,870,114,196,206,226,96,625
0.503,1036,902,107,193,181,236,100,636
0.518,1031,902,95,186,174,239,101,637
0.549,904,854,87,175,195,206,90,706
0.572,822,820,102,169,208,216,88,763
0.578,686,774,139,179,204,297,86,779
0.601,527,650,164,168,204,335,85,809
0.624,345,550,206,158,194,417,90,959
0.639,241,630,301,142,161,506,89,983
0.661,203,671,320,129,128,521,90,1044
0.684,179,1079,316,110,118,487,98,1070
0.699,144,1494,305,121,114,459,104,1058
0.721,119,1792,277,124,112,388,110,898
0.743,106,1901,181,129,111,265,126,764
0.759,93,1950,144,150,115,217,151,567
0.781,97,1811,153,165,114,202,164,383
0.804,94,1521,166,171,115,352,185,217
0.819,88,1194,176,188,123,537,201,153
0.841,79,928,170,200,134,679,206,143
0.864,91,768,165,201,149,789,197,161
0.878,95,621,138,203,158,840,184,159
0.901,102,569,133,205,169,867,157,161
0.924,107,538,134,208,173,861,127,151
0.947,113,583,131,196,170,903,105,150
0.969,102,645,129,189,156,970,95,101
0.991,97,1109,123,178,143,1073,91,88
0.998,169,1395,109,168,132,1111,94,74
1.03,447,1647,89,150,120,1087,96,74
1.043,621,1768,91,150,116,986,95,66
1.067,752,1850,86,137,108,842,85,70
1.09,866,1667,88,133,111,659,81,83
1.104,910,1458,88,127,104,493,68,96
1.127,844,1187,88,124,99,389,72,106
1.157,759,992,82,113,93,338,61,135
1.179,685,810,77,114,102,302,61,184
1.187,593,724,74,108,106,263,58,269
1.209,568,685,69,110,107,214,65,344
1.224,580,651,68,95,113,182,54,402
1.248,600,627,62,97,124,176,59,445
1.276,616,614,62,101,139,171,56,468
1.283,658,595,56,114,151,164,60,445
1.306,690,577,69,125,162,161,57,403
1.329,709,550,72,133,169,154,60,353
1.344,714,517,74,128,169,151,57,301
1.367,706,480,71,125,155,133,61,251
1.389,674,458,72,112,137,121,62,228
1.412,646,436,63,93,120,112,61,226
1.434,631,424,63,84,103,106,59,223
1.457,624,417,60,80,91,91,57,207
1.463,620,413,64,82,83,92,55,197
1.486,613,413,67,87,83,89,51,204
1.509,652,434,74,97,85,83,52,242
1.523,676,504,74,99,81,77,53,321
1.547,778,551,77,104,75,82,61,383
1.57,880,591,84,103,77,119,58,417
1.584,942,639,84,117,79,118,57,425
1.607,952,684,81,117,81,119,54,401
1.636,931,697,88,120,89,122,59,337
1.652,818,707,84,114,97,119,54,263
1.666,660,711,76,113,105,82,58,192
1.689,510,702,76,98,111,92,59,141
1.713,354,683,69,86,117,93,59,104
1.734,249,672,57,73,123,97,53,82
1.757,194,676,59,72,143,109,52,72
1.772,165,693,61,67,149,107,56,60
1.786,135,700,61,52,150,109,55,52
1.809,96,692,59,50,159,114,60,52
1.831,74,662,57,51,154,115,60,54
1.847,69,620,55,58,141,107,59,54
1.869,64,563,50,59,133,107,50,56
1.891,59,511,47,62,129,96,47,55
1.906,56,467,48,66,112,97,46,53
1.929,51,501,52,74,113,98,52,51
1.952,63,685,54,71,107,93,57,46
1.966,61,1001,56,77,105,101,58,43
1.989,65,1264,60,83,102,100,57,47
2.012,68,1483,65,90,96,92,57,53
2.026,70,1624,75,93,89,80,54,59
2.049,59,1634,77,95,90,72,50,60
2.072,60,1500,77,92,92,62,54,63
2.086,54,1317,74,91,91,67,58,61
2.11,49,1108,71,83,101,73,56,62
2.132,43,889,57,74,111,77,53,58
2.154,38,763,54,76,115,83,58,58
2.17,33,714,57,93,128,94,55,58
2.192,36,682,59,96,140,94,53,57
2.206,37,641,61,103,144,101,52,55
2.229,38,621,63,106,152,101,50,52
2.252,43,611,59,105,151,100,45,55
2.266,45,610,54,88,138,89,49,58
2.289,44,616,55,81,130,85,48,57
2.312,44,620,53,73,127,81,49,54
2.326,45,623,49,67,115,84,54,57
2.349,40,621,51,61,105,84,55,54
2.372,38,620,50,63,104,83,55,51
2.386,35,617,46,67,104,86,54,50
2.409,35,616,45,69,97,82,54,49
2.431,35,615,47,69,92,80,52,49
2.446,37,615,47,71,88,77,54,53
2.469,36,615,47,71,94,74,50,51
2.491,35,615,53,66,102,73,55,53
2.506,34,615,53,64,103,70,56,54
2.529,34,615,51,61,109,77,55,52
2.551,37,615,54,64,131,79,49,47
2.573,41,604,54,66,139,82,49,57
2.59,45,588,56,76,139,90,41,58
2.611,46,563,68,89,148,93,42,59
2.634,45,535,75,95,155,89,45,66
2.651,42,504,76,93,143,94,48,66
2.671,39,490,80,92,140,99,49,57
2.694,39,486,74,84,136,94,53,59
2.71,39,499,64,70,124,96,53,57
2.731,40,518,58,63,116,96,55,55
2.753,45,540,54,63,111,89,53,56
2.77,45,563,50,61,96,85,56,64
2.791,41,586,50,62,92,83,54,61
2.814,40,604,49,61,91,80,53,60
2.831,38,615,47,60,81,77,46,56
2.851,39,623,46,57,83,77,50,54
2.874,40,625,44,55,91,78,55,48
2.891,46,623,46,54,100,79,57,46
2.911,47,619,46,54,111,83,58,48
2.934,49,617,48,52,126,80,60,52
2.951,47,605,49,62,129,87,56,51
2.971,47,589,57,66,141,87,52,55
2.993,50,564,66,83,148,95,47,58
3.01,50,531,72,90,147,93,44,58
3.031,49,497,75,91,139,100,48,54
3.053,45,479,75,86,145,102,47,53
3.077,44,468,69,89,137,109,46,47
3.091,35,471,60,74,127,102,52,52
3.113,33,484,53,66,128,103,49,55
3.131,36,507,47,67,132,105,48,58
3.159,36,528,53,72,127,101,53,62
3.174,40,552,53,73,127,92,55,62
3.191,44,578,50,75,127,92,57,58
3.211,44,599,49,76,116,90,60,52
3.234,46,613,50,71,104,81,60,48
3.25,48,622,46,65,95,75,57,47
3.27,45,625,47,60,86,69,55,52
3.294,45,623,45,58,86,68,53,52
3.311,45,621,46,57,94,69,50,56
3.333,41,616,44,62,103,71,50,59
3.354,44,607,48,80,115,74,52,61
3.371,44,589,65,85,127,84,54,64
3.391,39,562,74,92,138,92,52,67
3.413,41,529,76,96,148,95,54,64
3.431,41,500,77,94,148,98,52,65
3.451,38,479,75,81,149,101,54,63
3.473,42,475,63,71,143,100,51,64
3.491,46,489,56,61,136,97,51,62
3.519,47,513,57,60,125,97,54,67
3.534,48,550,61,64,122,95,54,65
3.556,47,581,59,73,116,97,51,63
3.571,41,607,56,77,112,97,51,60
3.609,40,625,53,76,104,93,51,61
3.624,38,636,52,70,102,92,49,56
3.631,37,632,43,65,104,90,50,58
3.653,40,623,51,56,101,91,49,55
3.676,47,607,59,65,105,83,53,53
3.691,47,588,62,86,105,83,52,49
3.713,46,561,68,101,122,85,51,55
3.736,48,532,74,110,136,90,56,54
3.751,51,503,70,113,145,88,59,54
3.773,48,478,69,106,146,92,58,51
3.796,46,463,69,89,156,97,60,54
3.811,47,461,64,74,149,99,63,50
3.836,43,469,63,62,142,97,57,48
3.857,40,487,62,51,138,98,55,49
3.878,38,514,57,56,136,100,53,52
3.893,40,547,54,56,121,99,48,53
3.924,40,584,58,55,115,95,46,50
3.931,50,592,54,61,106,95,49,51
3.954,47,601,52,62,99,95,45,52
3.976,51,608,51,57,96,93,46,51
3.991,48,610,49,58,93,87,50,46
4.014,48,601,42,57,94,85,48,50
4.036,40,613,40,52,98,84,50,52
4.051,46,613,39,55,104,86,51,50
4.074,42,604,50,75,113,82,50,52
4.096,43,584,59,90,124,83,49,55
4.113,43,557,66,99,127,81,48,52
4.136,42,524,74,101,137,85,46,50
4.157,40,501,78,104,137,82,47,53
4.179,40,486,73,94,147,87,48,54
4.202,38,485,66,83,148,97,48,51
4.224,40,498,60,76,148,106,49,54
4.231,43,521,51,80,147,103,47,53
4.253,42,544,47,76,151,104,46,56
4.276,44,567,50,75,143,108,46,57
4.291,45,586,49,73,139,105,50,58
4.314,43,607,50,72,132,101,53,57
4.336,43,619,52,63,122,96,56,61
4.351,45,625,52,60,108,92,57,61
4.374,42,627,46,58,94,85,54,58
4.396,42,620,50,58,91,80,50,58
4.418,44,606,54,71,99,74,48,58
4.436,41,586,57,84,99,78,48,56
4.456,39,558,60,90,107,76,48,50
4.479,45,524,62,93,125,85,56,52
4.502,46,497,65,92,132,87,56,51
4.516,44,471,62,84,137,96,57,50
4.538,46,465,61,73,142,98,54,48
4.553,44,476,57,68,149,106,54,53
4.576,49,495,58,63,140,104,47,53
4.598,50,518,58,67,141,110,49,54
4.613,51,541,59,68,135,106,50,54
4.636,52,562,59,70,134,106,52,56
4.667,55,576,61,68,124,103,60,57
4.674,50,592,62,66,124,103,65,55
4.696,51,606,59,64,114,96,61,53
4.718,52,617,54,58,107,91,61,52
4.734,54,622,50,58,105,96,65,56
4.756,54,618,49,64,103,94,55,52
4.778,52,606,50,72,100,86,50,54
4.793,50,585,49,83,112,88,53,58
4.816,48,557,54,91,117,88,52,59
4.838,45,524,60,92,115,75,45,54
4.853,40,495,63,88,125,80,50,55
4.876,42,467,60,89,138,96,51,54
4.899,41,444,57,77,145,96,52,48
4.914,40,434,56,69,154,99,50,50
4.936,42,433,59,69,166,108,51,50
4.966,43,447,62,73,169,104,46,50
4.975,41,470,64,68,161,95,53,52
4.996,45,502,65,68,145,102,55,55
5.018,44,535,63,69,139,104,55,57
5.035,42,569,55,66,117,101,56,56
5.056,46,596,45,63,100,104,59,52
5.079,47,617,40,65,101,103,57,54
5.101,51,628,42,65,101,92,52,51
5.116,51,626,41,70,96,89,53,47
5.139,50,616,49,79,107,89,62,53
5.154,49,593,63,89,116,80,60,55
5.176,49,561,73,100,117,82,56,52
5.199,44,526,74,104,122,83,59,59
5.229,48,495,78,100,136,85,63,63
5.252,47,466,74,94,149,92,56,64
5.275,44,452,63,84,154,100,58,64
5.276,43,452,55,72,155,101,55,67
5.314,41,464,59,67,160,106,54,60
5.335,42,488,59,69,145,108,57,57
5.337,48,516,60,69,137,104,54,54
5.357,51,542,66,67,124,107,56,58
5.379,49,568,62,65,125,110,63,56
5.402,51,591,57,64,114,111,65,58
5.416,48,609,55,64,117,111,60,55
5.439,43,620,53,72,108,107,61,57
5.462,43,621,48,76,103,101,61,54
5.484,51,612,61,80,93,93,57,55
5.507,47,592,66,88,107,86,54,58
5.53,52,561,71,100,110,85,56,64
5.536,54,526,75,98,118,87,58,66
5.559,54,496,74,96,127,87,61,68
5.583,49,470,66,95,140,96,61,66
5.596,54,452,65,92,142,102,61,64
5.619,51,447,62,78,149,105,58,60
5.642,48,452,58,77,156,112,59,60
5.656,52,469,56,76,156,112,55,56
5.679,52,488,55,69,147,111,54,56
5.702,49,512,54,64,137,110,58,56
5.716,47,533,51,64,128,110,64,57
5.74,47,557,51,63,113,103,60,48
5.762,44,576,52,60,108,105,61,52
5.776,48,595,49,64,105,98,66,52
5.799,48,611,41,61,104,93,61,55
5.822,56,615,47,67,100,84,54,55
5.836,58,609,59,90,114,80,55,62
