time,e1,e2,e3,e4,e5,e6,e7,e8
3.736,47,162,222,125,206,115,111,212
3.751,48,136,185,115,195,109,117,219
3.774,48,113,160,104,182,105,133,219
3.789,52,103,159,93,183,105,134,187
3.811,53,92,146,73,149,96,134,154
3.834,52,84,137,62,134,92,134,151
3.85,52,82,138,54,120,88,126,138
3.872,50,71,135,70,110,92,107,132
3.893,44,69,132,79,95,91,96,121
3.908,42,65,131,93,88,89,97,119
3.931,42,73,132,101,94,93,88,111
3.954,43,81,129,102,93,96,83,117
3.968,42,88,127,97,89,98,79,117
3.991,41,87,128,89,84,100,80,115
4.015,43,89,125,81,90,99,73,107
4.028,41,92,123,68,97,99,73,98
4.058,39,93,120,66,113,103,69,98
4.073,39,91,110,54,126,100,71,99
4.088,38,96,94,55,135,94,69,98
4.111,40,114,86,47,138,96,67,107
4.142,44,110,75,51,131,92,66,109
4.149,45,103,70,54,124,80,67,104
4.171,44,99,68,61,120,77,70,103
4.194,45,91,74,60,114,77,69,113
4.209,41,62,90,61,115,77,72,113
4.231,38,54,104,61,116,79,82,131
4.254,35,55,112,55,115,85,80,135
4.269,36,63,119,45,114,89,81,137
4.291,37,68,121,41,114,93,83,135
4.313,38,64,114,38,103,98,87,131
4.336,38,67,107,37,98,102,78,115
4.351,37,76,104,38,92,103,81,111
4.374,36,71,107,40,88,102,79,102
4.396,39,68,111,42,94,103,76,96
4.411,39,68,130,42,103,100,72,96
4.434,44,76,141,40,120,101,84,104
4.456,45,73,154,39,132,109,90,117
4.472,45,81,160,39,135,112,91,130
4.493,48,85,162,39,137,114,99,136
4.516,50,97,157,38,139,119,106,147
4.531,44,98,149,42,127,119,99,146
4.554,45,94,135,43,116,115,92,142
4.576,45,88,120,43,106,110,87,132
4.591,36,83,108,42,93,104,78,127
4.613,36,70,89,41,79,97,69,112
4.636,37,63,80,36,74,91,70,109
4.651,41,63,72,42,67,87,70,101
4.674,43,66,79,40,70,88,76,104
4.696,45,70,86,41,75,90,79,105
4.711,46,73,94,42,79,86,76,103
4.734,49,73,102,44,83,85,79,98
4.757,47,72,103,41,90,88,75,97
4.771,47,72,109,44,91,86,78,95
4.795,48,73,117,43,98,89,76,94
4.816,46,73,120,41,95,89,77,94
4.831,41,74,122,42,94,92,73,91
4.853,41,73,123,40,92,88,82,90
4.876,40,77,113,39,89,90,77,84
4.891,37,76,101,37,79,87,78,79
4.916,37,76,97,38,76,91,78,78
4.936,42,74,95,48,69,90,81,80
4.96,42,74,102,57,60,93,76,83
4.973,43,70,108,60,59,96,78,93
4.996,45,68,114,63,55,95,78,101
5.012,47,66,114,63,53,90,82,106
5.033,44,72,107,58,57,95,82,122
5.064,46,73,100,54,58,97,86,133
5.071,48,68,92,54,63,98,84,134
5.102,49,70,85,53,64,104,86,136
5.116,48,71,83,57,66,110,80,132
5.139,50,68,87,53,66,110,89,117
5.154,47,70,98,48,72,102,83,105
5.176,44,68,107,43,73,102,83,93
5.199,40,72,111,42,78,94,78,84
5.214,37,69,109,34,74,89,77,86
5.236,32,67,108,31,74,86,66,83
5.252,36,70,102,30,69,85,67,83
5.274,35,70,98,27,64,82,72,89
5.296,44,65,98,26,58,88,76,91
5.319,47,69,106,30,68,94,81,91
5.342,48,77,123,34,70,104,91,103
5.356,49,88,139,38,82,110,94,110
5.379,49,101,150,39,93,117,91,118
5.393,47,108,156,40,99,124,92,127
5.416,51,112,162,37,103,126,92,134
5.447,53,107,153,36,104,123,84,131
5.454,54,95,135,33,101,123,81,129
5.476,53,80,116,33,90,112,75,121
5.499,50,72,100,34,81,102,74,113
5.514,43,63,77,37,70,92,68,104
5.536,43,60,68,40,68,86,67,103
5.56,42,64,74,46,61,90,68,95
5.574,40,65,81,47,61,91,73,97
5.596,40,75,97,48,65,96,72,100
5.62,43,81,112,52,65,98,74,100
5.642,39,91,133,48,68,98,79,96
5.656,40,101,147,51,69,99,79,101
5.695,45,106,158,53,78,108,81,108
5.702,49,103,172,51,80,115,91,114
5.724,48,109,176,48,88,129,102,120
5.739,51,107,170,52,90,137,106,134
5.754,48,102,164,46,95,141,110,139
5.776,45,101,159,43,92,140,111,139
5.8,43,102,147,42,94,135,105,137
5.814,41,100,140,39,95,128,102,140
5.844,37,99,134,34,94,126,97,131
5.859,42,92,128,38,92,116,94,132
5.874,44,93,116,37,90,112,94,125
5.896,43,90,98,39,92,103,98,117
5.92,46,79,82,40,88,95,92,109
5.933,47,73,67,43,85,82,86,104
5.956,47,72,71,42,87,81,84,90
5.98,45,72,76,43,85,82,82,89
6.002,46,71,86,45,80,93,77,92
6.016,46,83,104,45,75,95,76,91
6.04,48,88,114,43,77,100,79,92
6.07,49,89,121,39,78,107,81,102
6.076,49,88,129,40,78,107,80,103
6.1,44,88,133,36,82,106,80,104
6.113,44,81,128,34,85,106,81,103
6.144,43,80,142,32,87,107,80,106
6.16,41,80,143,33,83,111,88,104
6.174,39,81,141,32,85,111,87,107
6.196,45,84,144,29,87,109,86,109
6.22,42,85,148,31,85,112,90,112
6.242,42,85,133,37,89,108,87,113
6.256,42,86,124,40,89,107,82,112
6.28,49,87,119,42,94,105,84,115
6.302,46,85,108,43,87,107,84,112
6.316,46,87,105,44,88,107,83,112
6.347,45,84,99,41,77,108,81,113
6.362,44,80,94,41,79,102,76,113
6.376,42,81,89,39,78,106,79,108
6.399,40,84,85,38,88,101,84,107
6.423,40,82,72,37,89,92,81,103
6.452,39,82,80,36,95,89,90,97
6.46,44,84,89,33,99,86,89,92
6.482,40,85,101,35,91,82,83,87
6.496,43,88,116,34,85,83,81,85
6.52,44,89,130,35,89,93,86,90
6.542,46,96,137,39,91,102,83,92
6.556,43,101,154,39,91,111,102,88
6.579,47,98,158,39,95,113,106,84
6.601,49,101,158,44,97,116,110,80
6.624,55,105,157,43,96,114,109,73
6.639,57,102,157,41,88,114,109,64
6.662,57,101,147,42,80,115,99,78
6.676,55,103,152,42,88,119,103,98
6.699,57,96,145,40,84,116,97,101
6.73,52,87,145,38,81,115,94,104
6.736,54,80,136,39,81,109,88,107
6.759,57,68,128,40,81,98,79,101
6.782,56,61,108,38,69,93,64,93
6.804,50,57,103,38,69,97,56,96
6.82,52,58,92,39,69,98,62,101
6.842,51,73,91,39,71,106,68,104
6.856,47,84,105,38,75,113,73,106
6.88,46,88,110,40,77,111,81,104
6.909,45,88,117,39,81,107,85,103
6.916,44,89,125,41,80,107,82,100
